run_name,context_len,horizon_weeks,step_weeks,epochs,dropout,lr,scenario_k,rmse,r2,directional_accuracy,mode
hist_only,16,2,1,150,0.1,0.0001,5,0.025043250992894173,-0.17548751831054688,0.6349206349206349,historical_only
hist_only,16,2,1,150,0.1,0.0001,5,0.0241689570248127,-0.09484434127807617,0.6324143692564745,historical_only
hist_only,16,2,1,150,0.1,0.0001,5,0.024617066606879234,-0.13581931591033936,0.6223893065998329,historical_only
hist_only,20,2,1,150,0.3,0.0001,5,0.02489643171429634,-0.1617450714111328,0.6265664160401002,historical_only
hist_only,20,2,1,150,0.3,1e-05,5,0.02387242019176483,-0.06814324855804443,0.5739348370927319,historical_only
hist_only,20,2,1,150,0.3,0.0001,5,0.024853605777025223,-0.1430206298828125,0.6098579782790309,historical_only
hist_only,15,2,1,200,0.2,1e-05,5,0.02385900355875492,-0.05336737632751465,0.5898078529657477,historical_only
hist_only,15,2,1,20,0.2,1e-05,5,0.024069270119071007,-0.07201564311981201,0.5739348370927319,historical_only
hist_only_grid1,12,2,1,20,0.1,0.0001,3,0.02499285154044628,-0.15586447715759277,0.606516290726817,historical_only
hist_only_grid2,12,2,1,20,0.1,0.0001,5,0.024352528154850006,-0.0973961353302002,0.6157059314954052,historical_only
hist_only_grid3,12,2,1,20,0.1,5e-05,3,0.024756865575909615,-0.13413989543914795,0.6123642439431913,historical_only
hist_only_grid4,12,2,1,20,0.1,5e-05,5,0.024495629593729973,-0.11033105850219727,0.5939849624060151,historical_only
hist_only_grid5,12,2,1,20,0.2,0.0001,3,0.02506839856505394,-0.16286277770996094,0.6182121971595655,historical_only
hist_only_grid6,12,2,1,20,0.2,0.0001,5,0.02454129233956337,-0.11447453498840332,0.6148705096073517,historical_only
hist_only_grid7,12,2,1,20,0.2,5e-05,3,0.024879224598407745,-0.14537835121154785,0.6056808688387636,historical_only
hist_only_grid8,12,2,1,20,0.2,5e-05,5,0.02451809123158455,-0.11236834526062012,0.6173767752715121,historical_only
hist_only_grid9,12,2,1,20,0.3,0.0001,3,0.02404944971203804,-0.0702509880065918,0.6232247284878863,historical_only
hist_only_grid10,12,2,1,20,0.3,0.0001,5,0.024854568764567375,-0.14310920238494873,0.6115288220551378,historical_only
hist_only_grid11,12,2,1,20,0.3,5e-05,3,0.02557256445288658,-0.2101072072982788,0.6040100250626567,historical_only
hist_only_grid12,12,2,1,20,0.3,5e-05,5,0.02483467012643814,-0.1412796974182129,0.6040100250626567,historical_only
hist_only_grid13,16,2,1,20,0.1,0.0001,3,0.024399856105446815,-0.10166573524475098,0.6098579782790309,historical_only
hist_only_grid14,16,2,1,20,0.1,0.0001,5,0.024434227496385574,-0.10477161407470703,0.6040100250626567,historical_only
hist_only_grid15,16,2,1,20,0.1,5e-05,3,0.02539563551545143,-0.19342041015625,0.5898078529657477,historical_only
hist_only_grid16,16,2,1,20,0.1,5e-05,5,0.024695415049791336,-0.12851643562316895,0.5998329156223893,historical_only
hist_only_grid17,16,2,1,20,0.2,0.0001,3,0.025020930916070938,-0.1584632396697998,0.6157059314954052,historical_only
hist_only_grid18,16,2,1,20,0.2,0.0001,5,0.024788372218608856,-0.13702833652496338,0.6090225563909775,historical_only
hist_only_grid19,16,2,1,20,0.2,5e-05,3,0.025887157768011093,-0.24006390571594238,0.6006683375104428,historical_only
hist_only_grid20,16,2,1,20,0.2,5e-05,5,0.025082360953092575,-0.16415858268737793,0.6123642439431913,historical_only
hist_only_grid21,16,2,1,20,0.3,0.0001,3,0.02538900263607502,-0.19279706478118896,0.6157059314954052,historical_only
hist_only_grid22,16,2,1,20,0.3,0.0001,5,0.024608923122286797,-0.12062561511993408,0.6190476190476191,historical_only
hist_only_grid23,16,2,1,20,0.3,5e-05,3,0.02480633556842804,-0.13867688179016113,0.606516290726817,historical_only
hist_only_grid24,16,2,1,20,0.3,5e-05,5,0.024529317393898964,-0.11338722705841064,0.620718462823726,historical_only
hist_only_grid25,20,2,1,20,0.1,0.0001,3,0.025063253939151764,-0.1623854637145996,0.6131996658312447,historical_only
hist_only_grid26,20,2,1,20,0.1,0.0001,5,0.024816330522298813,-0.1395946741104126,0.6307435254803676,historical_only
hist_only_grid27,20,2,1,20,0.1,5e-05,3,0.0257803276181221,-0.2298499345779419,0.5898078529657477,historical_only
hist_only_grid28,20,2,1,20,0.1,5e-05,5,0.02473301999270916,-0.13195598125457764,0.6040100250626567,historical_only
hist_only_grid29,20,2,1,20,0.2,0.0001,3,0.024698184803128242,-0.12876975536346436,0.6148705096073517,historical_only
hist_only_grid30,20,2,1,20,0.2,0.0001,5,0.024899017065763474,-0.14720141887664795,0.6023391812865497,historical_only
hist_only_grid31,20,2,1,20,0.2,5e-05,3,0.024104179814457893,-0.07512760162353516,0.6349206349206349,historical_only
hist_only_grid32,20,2,1,20,0.2,5e-05,5,0.024980463087558746,-0.15471887588500977,0.6215538847117794,historical_only
hist_only_grid33,20,2,1,20,0.3,0.0001,3,0.025722011923789978,-0.22429239749908447,0.5822890559732665,historical_only
hist_only_grid34,20,2,1,20,0.3,0.0001,5,0.02488633245229721,-0.1460329294204712,0.5931495405179615,historical_only
hist_only_grid35,20,2,1,20,0.3,5e-05,3,0.02469167858362198,-0.12817513942718506,0.6148705096073517,historical_only
hist_only_grid36,20,2,1,20,0.3,5e-05,5,0.024333776906132698,-0.09570682048797607,0.6106934001670844,historical_only
hist_only,15,2,1,20,0.2,1e-05,5,128-64,1,0.02437073551118374,-0.09903764724731445,0.595655806182122,historical_only
hist_only_grid1,12,2,1,20,0.1,0.0001,3,128-64,1,0.02454594150185585,-0.11489689350128174,0.6248955722639933,historical_only
hist_only_grid2,12,2,1,20,0.1,0.0001,3,128-64,2,0.024609249085187912,-0.12065517902374268,0.5981620718462823,historical_only
hist_only_grid3,12,2,1,20,0.1,0.0001,3,256-128,1,0.02504088543355465,-0.16031169891357422,0.6182121971595655,historical_only
hist_only_grid4,12,2,1,20,0.1,0.0001,3,256-128,2,0.02578611485660076,-0.23040235042572021,0.6173767752715121,historical_only
hist_only_grid5,12,2,1,20,0.1,0.0001,5,128-64,1,0.02470977231860161,-0.12982916831970215,0.6232247284878863,historical_only
hist_only_grid6,12,2,1,20,0.1,0.0001,5,128-64,2,0.024937473237514496,-0.15074801445007324,0.6290726817042607,historical_only
hist_only_grid7,12,2,1,20,0.1,0.0001,5,256-128,1,0.025034157559275627,-0.15968823432922363,0.6157059314954052,historical_only
hist_only_grid8,12,2,1,20,0.1,0.0001,5,256-128,2,0.024606678634881973,-0.12042105197906494,0.6265664160401002,historical_only
hist_only_grid9,12,2,1,20,0.1,5e-05,3,128-64,1,0.025350308045744896,-0.1891639232635498,0.6081871345029239,historical_only
hist_only_grid10,12,2,1,20,0.1,5e-05,3,128-64,2,0.026030471548438072,-0.2538321018218994,0.6081871345029239,historical_only
hist_only_grid11,12,2,1,20,0.1,5e-05,3,256-128,1,0.025325482711195946,-0.18683600425720215,0.6148705096073517,historical_only
hist_only_grid12,12,2,1,20,0.1,5e-05,3,256-128,2,0.025517143309116364,-0.20486772060394287,0.5981620718462823,historical_only
hist_only_grid13,12,2,1,20,0.1,5e-05,5,128-64,1,0.025434153154492378,-0.1970432996749878,0.6248955722639933,historical_only
hist_only_grid14,12,2,1,20,0.1,5e-05,5,128-64,2,0.025112781673669815,-0.1669842004776001,0.6157059314954052,historical_only
hist_only_grid15,12,2,1,20,0.1,5e-05,5,256-128,1,0.02520212158560753,-0.17530202865600586,0.6031746031746031,historical_only
hist_only_grid16,12,2,1,20,0.1,5e-05,5,256-128,2,0.02473888359963894,-0.1324930191040039,0.6299081035923141,historical_only
hist_only_grid17,12,2,1,20,0.2,0.0001,3,128-64,1,0.024711135774850845,-0.12995386123657227,0.6215538847117794,historical_only
hist_only_grid18,12,2,1,20,0.2,0.0001,3,128-64,2,0.02503088116645813,-0.15938472747802734,0.6274018379281537,historical_only
hist_only_grid19,12,2,1,20,0.2,0.0001,3,256-128,1,0.02543322555720806,-0.19695603847503662,0.6131996658312447,historical_only
hist_only_grid20,12,2,1,20,0.2,0.0001,3,256-128,2,0.025181137025356293,-0.17334556579589844,0.6098579782790309,historical_only
hist_only_grid21,12,2,1,20,0.2,0.0001,5,128-64,1,0.024789446964859962,-0.13712692260742188,0.6015037593984962,historical_only
hist_only_grid22,12,2,1,20,0.2,0.0001,5,128-64,2,0.024663720279932022,-0.12562167644500732,0.6073517126148705,historical_only
hist_only_grid23,12,2,1,20,0.2,0.0001,5,256-128,1,0.02502545714378357,-0.15888237953186035,0.6382623224728488,historical_only
hist_only_grid24,12,2,1,20,0.2,0.0001,5,256-128,2,0.02480900287628174,-0.138921856880188,0.6349206349206349,historical_only
hist_only_grid25,12,2,1,20,0.2,5e-05,3,128-64,1,0.024776365607976913,-0.1359272003173828,0.6148705096073517,historical_only
hist_only_grid26,12,2,1,20,0.2,5e-05,3,128-64,2,0.025191251188516617,-0.17428839206695557,0.6232247284878863,historical_only
hist_only_grid27,12,2,1,20,0.2,5e-05,3,256-128,1,0.025691088289022446,-0.2213503122329712,0.6015037593984962,historical_only
hist_only_grid28,12,2,1,20,0.2,5e-05,3,256-128,2,0.02601434290409088,-0.25227880477905273,0.6173767752715121,historical_only
hist_only_grid29,12,2,1,20,0.2,5e-05,5,128-64,1,0.02472047135233879,-0.1308077573776245,0.631578947368421,historical_only
hist_only_grid30,12,2,1,20,0.2,5e-05,5,128-64,2,0.024698903784155846,-0.12883543968200684,0.6198830409356725,historical_only
hist_only_grid31,12,2,1,20,0.2,5e-05,5,256-128,1,0.0252064298838377,-0.17570388317108154,0.6115288220551378,historical_only
hist_only_grid32,12,2,1,20,0.2,5e-05,5,256-128,2,0.024653783068060875,-0.12471497058868408,0.6048454469507101,historical_only
hist_only_grid33,12,2,1,20,0.3,0.0001,3,128-64,1,0.024487420916557312,-0.10958707332611084,0.6131996658312447,historical_only
hist_only_grid34,12,2,1,20,0.3,0.0001,3,128-64,2,0.02475353702902794,-0.1338348388671875,0.5998329156223893,historical_only
hist_only_grid35,12,2,1,20,0.3,0.0001,3,256-128,1,0.024749020114541054,-0.13342106342315674,0.6090225563909775,historical_only
hist_only_grid36,12,2,1,20,0.3,0.0001,3,256-128,2,0.025017062202095985,-0.1581050157546997,0.5964912280701754,historical_only
hist_only_grid37,12,2,1,20,0.3,0.0001,5,128-64,1,0.024223022162914276,-0.0857553482055664,0.6165413533834586,historical_only
hist_only_grid38,12,2,1,20,0.3,0.0001,5,128-64,2,0.02417592704296112,-0.08153736591339111,0.6157059314954052,historical_only
hist_only_grid39,12,2,1,20,0.3,0.0001,5,256-128,1,0.024206381291151047,-0.08426403999328613,0.6257309941520468,historical_only
