window,start_date,end_date,rmse,r2,directional_accuracy
1,2014-05-30,2014-10-10,0.014290816470292043,-0.07424935263349308,0.4
2,2014-10-17,2014-10-17,0.008439317193971412,,1.0
3,2014-10-24,2014-10-24,0.04407435462903217,,0.0
4,2014-10-31,2014-10-31,0.02908137995504252,,0.0
5,2014-11-07,2014-11-07,0.01190053027252232,,0.0
6,2014-11-14,2014-11-14,0.0056480807503759434,,0.0
7,2014-11-21,2014-11-21,0.0160837276647603,,0.0
8,2014-11-28,2014-11-28,0.01134982089797494,,0.0
9,2014-12-05,2014-12-05,0.00452076198390918,,0.0
10,2014-12-12,2014-12-12,0.03180608562110757,,1.0
11,2014-12-19,2014-12-19,0.03696397454639138,,0.0
12,2014-12-26,2014-12-26,0.017103216959429294,,0.0
13,2015-01-02,2015-01-02,0.013276546533605351,,0.0
14,2015-01-09,2015-01-09,0.008015068516275406,,0.0
15,2015-01-16,2015-01-16,0.010803765979593753,,1.0
16,2015-01-23,2015-01-23,0.031256704371668276,,0.0
17,2015-01-30,2015-01-30,0.028633138494794024,,0.0
18,2015-02-06,2015-02-06,0.034459789500394536,,0.0
19,2015-02-13,2015-02-13,0.02201917266961885,,0.0
20,2015-02-20,2015-02-20,0.01530401065266493,,0.0
21,2015-02-27,2015-02-27,0.003916632122644162,,0.0
22,2015-03-06,2015-03-06,0.01671774655558615,,0.0
23,2015-03-13,2015-03-13,0.011625701652030567,,0.0
24,2015-03-20,2015-03-20,0.025261586858128075,,1.0
25,2015-03-27,2015-03-27,0.021692622788346248,,1.0
26,2015-04-03,2015-04-03,0.004829544417941828,,1.0
27,2015-04-10,2015-04-10,0.01599150785443333,,1.0
28,2015-04-17,2015-04-17,0.011813850252832332,,0.0
29,2015-04-24,2015-04-24,0.011580638961210477,,1.0
30,2015-05-01,2015-05-01,0.0038113914732814946,,1.0
31,2015-05-08,2015-05-08,0.0052861586724529085,,1.0
32,2015-05-15,2015-05-15,0.0009433884558185147,,1.0
33,2015-05-22,2015-05-22,0.007090626045931768,,1.0
34,2015-05-29,2015-05-29,0.013686748827279237,,0.0
35,2015-06-05,2015-06-05,0.018500697797282042,,0.0
36,2015-06-12,2015-06-12,0.0064745781965833415,,1.0
37,2015-06-19,2015-06-19,0.0029628474176539646,,1.0
38,2015-06-26,2015-06-26,0.013262040994031662,,0.0
39,2015-07-03,2015-07-03,0.015776399814629166,,0.0
