window,start_date,end_date,rmse,r2,directional_accuracy
1,2014-05-30,2014-06-06,0.013337135,-81.87583923339844,1.0
2,2014-06-13,2014-06-13,0.013428085,,0.0
3,2014-06-20,2014-06-20,0.010526581,,1.0
4,2014-06-27,2014-06-27,0.007891276,,0.0
5,2014-07-04,2014-07-04,0.0075360346,,1.0
6,2014-07-11,2014-07-11,0.014081636,,0.0
7,2014-07-18,2014-07-18,0.0018584908,,1.0
8,2014-07-25,2014-07-25,0.0032119525,,0.0
9,2014-08-01,2014-08-01,0.030623319,,0.0
10,2014-08-08,2014-08-08,0.015119452,,0.0
11,2014-08-15,2014-08-15,0.019196805,,0.0
12,2014-08-22,2014-08-22,0.021495821,,0.0
13,2014-08-29,2014-08-29,0.0029958924,,1.0
14,2014-09-05,2014-09-05,0.017079277,,1.0
15,2014-09-12,2014-09-12,0.008379994,,1.0
16,2014-09-19,2014-09-19,0.022120398,,0.0
17,2014-09-26,2014-09-26,0.012373585,,1.0
18,2014-10-03,2014-10-03,0.004073233,,1.0
19,2014-10-10,2014-10-10,0.021720815,,1.0
20,2014-10-17,2014-10-17,0.008677969,,1.0
21,2014-10-24,2014-10-24,0.064186424,,0.0
22,2014-10-31,2014-10-31,0.02189183,,1.0
23,2014-11-07,2014-11-07,0.02705345,,1.0
24,2014-11-14,2014-11-14,0.0014620561,,1.0
25,2014-11-21,2014-11-21,0.006533487,,1.0
26,2014-11-28,2014-11-28,0.0014633639,,1.0
27,2014-12-05,2014-12-05,0.004300624,,1.0
28,2014-12-12,2014-12-12,0.046334267,,0.0
29,2014-12-19,2014-12-19,0.054810897,,0.0
30,2014-12-26,2014-12-26,0.017144442,,0.0
31,2015-01-02,2015-01-02,0.034197394,,0.0
32,2015-01-09,2015-01-09,0.0011066343,,1.0
33,2015-01-16,2015-01-16,0.0016003558,,1.0
34,2015-01-23,2015-01-23,0.03956434,,0.0
35,2015-01-30,2015-01-30,0.03221178,,0.0
36,2015-02-06,2015-02-06,0.024523513,,1.0
37,2015-02-13,2015-02-13,0.016500708,,1.0
38,2015-02-20,2015-02-20,0.021366222,,1.0
39,2015-02-27,2015-02-27,0.028458647,,0.0
40,2015-03-06,2015-03-06,0.01716101,,0.0
41,2015-03-13,2015-03-13,0.0009936197,,1.0
42,2015-03-20,2015-03-20,0.030116402,,0.0
43,2015-03-27,2015-03-27,0.027966185,,0.0
44,2015-04-03,2015-04-03,0.015050119,,0.0
45,2015-04-10,2015-04-10,0.006593855,,1.0
46,2015-04-17,2015-04-17,0.020320967,,0.0
47,2015-04-24,2015-04-24,0.019376084,,0.0
48,2015-05-01,2015-05-01,0.0010737691,,1.0
49,2015-05-08,2015-05-08,0.0034935372,,1.0
50,2015-05-15,2015-05-15,0.008229456,,0.0
51,2015-05-22,2015-05-22,0.002033881,,1.0
52,2015-05-29,2015-05-29,0.03453093,,0.0
53,2015-06-05,2015-06-05,0.012791173,,1.0
54,2015-06-12,2015-06-12,0.012133245,,0.0
55,2015-06-19,2015-06-19,0.02191191,,0.0
56,2015-06-26,2015-06-26,0.022009347,,0.0
57,2015-07-03,2015-07-03,0.020034457,,0.0
58,2015-07-10,2015-07-10,0.011494641,,1.0
59,2015-07-17,2015-07-17,0.030665709,,0.0
60,2015-07-24,2015-07-24,0.036968194,,0.0
61,2015-07-31,2015-07-31,0.008890153,,1.0
62,2015-08-07,2015-08-07,0.00259477,,1.0
63,2015-08-14,2015-08-14,0.016302653,,0.0
64,2015-08-21,2015-08-21,0.052402698,,1.0
65,2015-08-28,2015-08-28,0.02792196,,0.0
66,2015-09-04,2015-09-04,0.039568808,,0.0
67,2015-09-11,2015-09-11,0.034758147,,0.0
68,2015-09-18,2015-09-18,0.011203157,,1.0
69,2015-09-25,2015-09-25,0.027804688,,0.0
70,2015-10-02,2015-10-02,0.02340319,,0.0
71,2015-10-09,2015-10-09,0.026976679,,1.0
72,2015-10-16,2015-10-16,0.012342619,,1.0
73,2015-10-23,2015-10-23,0.0062651224,,1.0
74,2015-10-30,2015-10-30,0.019896043,,1.0
75,2015-11-06,2015-11-06,0.006234212,,1.0
76,2015-11-13,2015-11-13,0.05325852,,0.0
