window,start_date,end_date,rmse,r2,directional_accuracy
1,2014-05-30,2014-06-06,0.013139344,-401.8253173828125,0.0
2,2014-06-06,2014-06-13,0.013435864,-0.7705676555633545,0.5
3,2014-06-13,2014-06-20,0.01810924,-2.1103343963623047,0.5
4,2014-06-20,2014-06-27,0.006711402,0.16332978010177612,0.5
5,2014-06-27,2014-07-04,0.008912842,-0.7749391794204712,0.5
6,2014-07-04,2014-07-11,0.011600219,-0.17012524604797363,0.5
7,2014-07-11,2014-07-18,0.006839351,0.1025957465171814,0.5
8,2014-07-18,2014-07-25,0.0032077562,-0.44471585750579834,0.5
9,2014-07-25,2014-08-01,0.021571841,-1.4948062896728516,0.5
10,2014-08-01,2014-08-08,0.01291575,0.2870924472808838,0.5
11,2014-08-08,2014-08-15,0.026775273,-36.55937576293945,0.0
12,2014-08-15,2014-08-22,0.018097378,-55.11053466796875,0.5
13,2014-08-22,2014-08-29,0.008990224,-2.651904821395874,1.0
14,2014-08-29,2014-09-05,0.009823086,-12.553418159484863,1.0
15,2014-09-05,2014-09-12,0.008678577,-0.7114295959472656,0.5
16,2014-09-12,2014-09-19,0.01798565,-1.3337593078613281,0.5
17,2014-09-19,2014-09-26,0.013211178,-0.013846039772033691,0.5
18,2014-09-26,2014-10-03,0.018066306,-32.633811950683594,0.0
19,2014-10-03,2014-10-10,0.016734224,-0.8932527303695679,1.0
20,2014-10-10,2014-10-17,0.012696183,-0.37203705310821533,1.0
21,2014-10-17,2014-10-24,0.050940324,-3.048973560333252,0.5
22,2014-10-24,2014-10-31,0.033386067,-23.233013153076172,0.5
23,2014-10-31,2014-11-07,0.019352235,-2.7436654567718506,1.0
24,2014-11-07,2014-11-14,0.0068726214,-20.431690216064453,1.0
25,2014-11-14,2014-11-21,0.0024784005,0.5814411640167236,1.0
26,2014-11-21,2014-11-28,0.004912376,-0.05253958702087402,1.0
27,2014-11-28,2014-12-05,0.004688112,-25.993125915527344,1.0
28,2014-12-05,2014-12-12,0.027378395,-0.912150502204895,0.5
29,2014-12-12,2014-12-19,0.04098777,-0.39608442783355713,0.5
30,2014-12-19,2014-12-26,0.023082055,-2.4543755054473877,1.0
31,2014-12-26,2015-01-02,0.026226887,-4.000674724578857,0.5
32,2015-01-02,2015-01-09,0.053148355,-166.35704040527344,0.0
33,2015-01-09,2015-01-16,0.0031726384,-0.1305605173110962,1.0
34,2015-01-16,2015-01-23,0.012256299,0.2556229829788208,1.0
35,2015-01-23,2015-01-30,0.026092762,-0.406353235244751,0.0
36,2015-01-30,2015-02-06,0.03249573,-0.2576228380203247,0.5
37,2015-02-06,2015-02-13,0.016397545,-10.04702377319336,1.0
38,2015-02-13,2015-02-20,0.018698053,-6.482266902923584,1.0
39,2015-02-20,2015-02-27,0.02147862,-21.385101318359375,0.5
40,2015-02-27,2015-03-06,0.019240566,-7.539244651794434,0.0
41,2015-03-06,2015-03-13,0.008120078,-4.003094673156738,1.0
42,2015-03-13,2015-03-20,0.027496519,-1.4757716655731201,0.0
43,2015-03-20,2015-03-27,0.021141412,0.25160443782806396,0.5
